"Division St & Bowery","296","11","34","40.71413089","-73.9970468"
"E 15 St & 3 Ave","297","12","27","40.734232","-73.986923"
"3 Ave & Schermerhorn St","298","27","35","40.68683208","-73.9796772"
"Shevchenko Pl & E 7 St","300","31","54","40.728145","-73.990214"
"E 2 St & Avenue B","301","0","17","40.72217444","-73.98368779"
"Avenue D & E 3 St","302","20","23","40.72082834","-73.97793172"
"Mercer St & Spring St","303","15","31","40.72362738","-73.99949601"
"Broadway & Battery Pl","304","34","36","40.70463334","-74.01361706"
"E 58 St & 3 Ave","305","11","33","40.76095756","-73.96724467"
"Cliff St & Fulton St","306","32","37","40.70823502","-74.00530063"
"Canal St & Rutgers St","307","28","31","40.71427487","-73.98990025"
"St James Pl & Oliver St","308","8","27","40.71307916","-73.99851193"
"Murray St & West St","309","21","41","40.7149787","-74.013012"
"State St & Smith St","310","33","36","40.68926942","-73.98912867"
"Norfolk St & Broome St","311","18","30","40.7172274","-73.98802084"
"Allen St & E Houston St","312","21","31","40.722055","-73.989111"
"Washington Ave & Park Ave","313","14","23","40.69610226","-73.96751037"
"Cadman Plaza West & Montague St","314","22","39","40.69383","-73.990539"
"South St & Gouverneur Ln","315","20","29","40.70355377","-74.00670227"
"Fulton St & William St","316","39","43","40.70955958","-74.00653609"
"E 6 St & Avenue B","317","16","27","40.72453734","-73.98185424"
"E 43 St & Vanderbilt Ave","318","29","31","40.75320159","-73.9779874"
"Park Pl & Church St","319","10","35","40.71336124","-74.00937622"
"Leonard St & Church St","320","25","39","40.717571","-74.005549"
"Cadman Plaza E & Red Cross Pl","321","24","27","40.69991755","-73.98971773"
"Lawrence St & Willoughby St","323","35","39","40.69236178","-73.98631746"
"DeKalb Ave & Hudson Ave","324","5","51","40.689888","-73.981013"
"E 19 St & 3 Ave","325","32","35","40.73624527","-73.98473765"
"E 11 St & 1 Ave","326","23","27","40.72953837","-73.98426726"
"Vesey Pl & River Terrace","327","35","39","40.7153379","-74.01658354"
"Watts St & Greenwich St","328","14","23","40.72405549","-74.00965965"
"Greenwich St & N Moore St","329","25","30","40.72043411","-74.01020609"
"Reade St & Broadway","330","39","39","40.71450451","-74.00562789"
"Pike St & Monroe St","331","17","27","40.71173107","-73.99193043"
"Cherry St","332","9","24","40.71219906","-73.97948148"
"W 20 St & 7 Ave","334","27","31","40.74238787","-73.99726235"
"Washington Pl & Broadway","335","16","27","40.72903917","-73.99404649"
"Sullivan St & Washington Sq","336","29","36","40.73047747","-73.99906065"
"Old Slip & Front St","337","36","37","40.7037992","-74.00838676"
"Avenue D & E 12 St","339","20","24","40.72580614","-73.97422494"
"Madison St & Clinton St","340","11","27","40.71269042","-73.98776323"
"Stanton St & Mangin St","341","11","19","40.71782143","-73.97628939"
"Columbia St & Rivington St","342","23","29","40.71739973","-73.98016555"
"Clinton Ave & Flushing Ave","343","10","23","40.69794","-73.96986848"
"Monroe St & Bedford Ave","344","6","23","40.6851443","-73.95380904"
"W 13 St & 6 Ave","345","22","35","40.73649403","-73.99704374"
"Bank St & Hudson St","346","12","27","40.73652889","-74.00618026"
"W Houston St & Hudson St","347","34","35","40.72873888","-74.00748842"
"W Broadway & Spring St","348","15","42","40.72490985","-74.00154702"
"Rivington St & Ridge St","349","18","23","40.71850211","-73.98329859"
"Clinton St & Grand St","350","19","26","40.71559509","-73.9870295"
"Front St & Maiden Ln","351","9","39","40.70530954","-74.00612572"
"W 56 St & 6 Ave","352","11","36","40.76340613","-73.97722479"
"S Portland Ave & Hanson Pl","353","24","27","40.68539567","-73.97431458"
"Emerson Pl & Myrtle Ave","354","12","31","40.69363137","-73.96223558"
"Bayard St & Baxter St","355","37","43","40.71602118","-73.99974372"
"Bialystoker Pl & Delancey St","356","10","23","40.71622644","-73.98261206"
"E 11 St & Broadway","357","24","27","40.73261787","-73.99158043"
"Christopher St & Greenwich St","358","9","36","40.73291553","-74.00711384"
"E 47 St & Park Ave","359","51","53","40.75510267","-73.97498696"
"William St & Pine St","360","36","39","40.70717936","-74.00887308"
"Allen St & Hester St","361","37","43","40.71605866","-73.99190759"
"Broadway & W 37 St","362","47","51","40.75172632","-73.98753523"
"West Thames St","363","35","48","40.70834698","-74.01713445"
"Lafayette Ave & Classon Ave","364","16","27","40.68900443","-73.96023854"
"Fulton St & Grand Ave","365","28","31","40.68223166","-73.9614583"
"Clinton Ave & Myrtle Ave","366","14","33","40.693261","-73.968896"
"E 53 St & Lexington Ave","367","32","34","40.75828065","-73.97069431"
"Carmine St & 6 Ave","368","18","39","40.73038599","-74.00214988"
"Washington Pl & 6 Ave","369","27","35","40.73224119","-74.00026394"
"Franklin Ave & Myrtle Ave","372","11","27","40.694528","-73.958089"
"Willoughby Ave & Walworth St","373","11","19","40.69331716","-73.95381995"
"Mercer St & Bleecker St","375","1","2","40.72679454","-73.99695094"
"John St & William St","376","41","43","40.70862144","-74.00722156"
"6 Ave & Canal St","377","6","47","40.72243797","-74.00566443"
"W 31 St & 7 Ave","379","3","41","40.749156","-73.9916"
"W 4 St & 7 Ave S","380","22","39","40.73401143","-74.00293877"
"University Pl & E 14 St","382","3","36","40.73492695","-73.99200509"
"Greenwich Ave & Charles St","383","33","39","40.735238","-74.000271"
"Fulton St & Waverly Ave","384","21","31","40.68317813","-73.9659641"
"E 55 St & 2 Ave","385","12","29","40.75797322","-73.96603308"
"Centre St & Worth St","386","30","43","40.71494807","-74.00234482"
"Centre St & Chambers St","387","37","39","40.71273266","-74.0046073"
